"dates","AMEALCO_DE_BONFIL","PINAL_DE_AMOLES","ARROYO_SECO","CADEREYTA_DE_MONTES","COLON","CORREGIDORA","EZEQUIEL_MONTES","HUIMILPAN","JALPAN_DE_SERRA","LANDA_DE_MATAMOROS","EL_MARQUES","PEDRO_ESCOBEDO","PENAMILLER","QUERETARO","SAN_JOAQUIN","SAN_JUAN_DEL_RIO","TEQUISQUIAPAN","TOLIMAN"
"2020-04-22","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0226805538790846","0","0","0","0"
"2020-04-23","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0181444431032677","0","0","0","0"
"2020-04-24","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0181444431032677","0","0","0","0"
"2020-04-25","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0226805538790846","0","0","0","0"
"2020-04-26","0","0","0","0","0","0","0.105489571828377","0","0","0","0","0","0","0.0226805538790846","0","0","0","0"
"2020-04-27","0","0","0","0","0","0.0224019003980146","0.105489571828377","0","0","0","0","0","0","0.0226805538790846","0","0","0","0"
"2020-04-28","0","0","0","0","0","0.0224019003980146","0.105489571828377","0","0","0","0","0","0","0.0226805538790846","0","0","0","0"
"2020-04-29","0","0","0","0.0689381796873653","0","0.0224019003980146","0.105489571828377","0","0","0","0","0","0","0.0226805538790846","0","0","0","0"
"2020-04-30","0","0","0","0.0689381796873653","0","0.0224019003980146","0.105489571828377","0","0","0","0","0","0","0.0272166646549015","0","0","0","0"
"2020-05-01","0","0","0","0.0689381796873653","0","0.0224019003980146","0.105489571828377","0","0","0","0","0","0","0.0317527754307185","0","0","0","0"
"2020-05-02","0","0","0","0.0689381796873653","0","0.0224019003980146","0.105489571828377","0","0","0","0","0","0","0.0317527754307185","0","0","0","0"
"2020-05-03","0","0","0","0.0689381796873653","0","0.0224019003980146","0.105489571828377","0","0","0","0","0","0","0.0408249969823523","0","0","0","0"
"2020-05-04","0","0","0","0.0689381796873653","0","0.0224019003980146","0.105489571828377","0","0","0","0","0","0","0.0498972185339862","0","0","0","0"
"2020-05-05","0","0","0","0.0689381796873653","0","0.0224019003980146","0.105489571828377","0","0","0","0","0","0","0.0498972185339862","0","0","0","0"
"2020-05-06","0","0","0","0.0689381796873653","0","0.0224019003980146","0.105489571828377","0","0","0","0","0","0","0.0544333293098031","0","0","0","0"
"2020-05-07","0","0","0","0.0689381796873653","0","0.0224019003980146","0.105489571828377","0","0","0","0","0","0","0.0544333293098031","0","0","0","0"
"2020-05-08","0","0","0","0.0689381796873653","0","0.0224019003980146","0.105489571828377","0","0","0","0","0","0","0.0544333293098031","0","0","0","0"
"2020-05-09","0","0","0","0.0689381796873653","0","0.0224019003980146","0.105489571828377","0","0","0","0","0","0","0.0544333293098031","0","0","0","0"
"2020-05-10","0.0712422728849772","0","0","0.137876359374731","0","0.0224019003980146","0.105489571828377","0","0","0","0","0","0","0.0635055508614369","0","0","0","0"
"2020-05-11","0.0712422728849772","0","0","0.137876359374731","0","0.0224019003980146","0.105489571828377","0","0","0","0","0","0","0.0680416616372539","0","0.0159900631351653","0","0"
"2020-05-12","0.142484545769954","0","0","0.137876359374731","0","0.0224019003980146","0.105489571828377","0","0","0","0","0","0","0.0771138831888877","0","0.0159900631351653","0","0"
"2020-05-13","0.142484545769954","0","0","0.137876359374731","0","0.0224019003980146","0.105489571828377","0","0","0","0","0","0","0.0816499939647046","0","0.0159900631351653","0","0"
"2020-05-14","0.142484545769954","0","0","0.137876359374731","0","0.0224019003980146","0.105489571828377","0","0","0","0","0.0615201380019736","0","0.0816499939647046","0","0.0319801262703306","0","0"
"2020-05-15","0.142484545769954","0","0","0.137876359374731","0","0.0224019003980146","0.105489571828377","0","0","0","0","0.123040276003947","0","0.0952583262921554","0","0.0319801262703306","0","0"
"2020-05-16","0.142484545769954","0","0","0.137876359374731","0","0.0224019003980146","0.105489571828377","0","0","0","0.0411097325647458","0.123040276003947","0","0.113402769395423","0","0.0479701894054958","0","0"
"2020-05-17","0.142484545769954","0","0","0.275752718749461","0","0.0448038007960291","0","0","0","0","0.0411097325647458","0.123040276003947","0","0.131547212498691","0","0.0639602525406611","0","0"
"2020-05-18","0.142484545769954","0","0","0.275752718749461","0","0.0224019003980146","0","0","0","0","0.0411097325647458","0.123040276003947","0","0.136083323274508","0","0.0639602525406611","0","0"
"2020-05-19","0.142484545769954","0","0","0.275752718749461","0","0.0448038007960291","0","0","0","0","0.0411097325647458","0.123040276003947","0","0.145155544826142","0","0.0639602525406611","0","0"
"2020-05-20","0.142484545769954","0","0","0.275752718749461","0","0.0448038007960291","0","0","0","0","0.0411097325647458","0.123040276003947","0","0.154227766377775","0","0.0799503156758264","0","0"
"2020-05-21","0.142484545769954","0","0","0.275752718749461","0","0.0448038007960291","0","0.129371461690523","0","0","0.0411097325647458","0.123040276003947","0","0.17690832025686","0","0.111930441946157","0.0659534461005355","0"
"2020-05-22","0.142484545769954","0","0","0.275752718749461","0","0.0448038007960291","0","0.129371461690523","0","0","0.0411097325647458","0.123040276003947","0","0.181444431032677","0","0.111930441946157","0.0659534461005355","0"
"2020-05-23","0.142484545769954","0","0","0.275752718749461","0","0.0672057011940437","0","0.129371461690523","0","0","0.0616645988471187","0.123040276003947","0","0.195052763360128","0","0.111930441946157","0.0659534461005355","0"
"2020-05-24","0.142484545769954","0","0","0.275752718749461","0","0.0672057011940437","0","0.129371461690523","0","0","0.0822194651294915","0.184560414005921","0","0.190516652584311","0","0.111930441946157","0.131906892201071","0"
"2020-05-25","0.142484545769954","0","0","0.275752718749461","0","0.0672057011940437","0","0.129371461690523","0","0","0.102774331411864","0.184560414005921","0","0.185980541808494","0","0.159900631351653","0.131906892201071","0"
