dates,ACONCHI,AGUA_PRIETA,ALAMOS,ALTAR,ARIVECHI,ARIZPE,BACADEHUACHI,BACANORA,BACERAC,BACOACHI,BACUM,BANAMICHI,BAVIACORA,BAVISPE,BENJAMIN_HILL,CABORCA,CAJEME,CANANEA,CARBO,LA_COLORADA,CUCURPE,CUMPAS,DIVISADEROS,EMPALME,ETCHOJOA,FRONTERAS,GRANADOS,GUAYMAS,HERMOSILLO,HUACHINERA,HUASABAS,HUATABAMPO,HUEPAC,IMURIS,MAGDALENA,MAZATAN,MOCTEZUMA,NACO,NACORI_CHICO,NACOZARI_DE_GARCIA,NAVOJOA,NOGALES,ONAVAS,OPODEPE,OQUITOA,PITIQUITO,PUERTO_PENASCO,QUIRIEGO,RAYON,ROSARIO,SAHUARIPA,SAN_FELIPE_DE_JESUS,SAN_JAVIER,SAN_LUIS_RIO_COLORADO,SAN_MIGUEL_DE_HORCASITAS,SAN_PEDRO_DE_LA_CUEVA,SANTA_ANA,SANTA_CRUZ,SARIC,SOYOPA,SUAQUI_GRANDE,TEPACHE,TRINCHERAS,TUBUTAMA,URES,VILLA_HIDALGO,VILLA_PESQUEIRA,YECORA,GENERAL_PLUTARCO_ELIAS_CALLES,BENITO_JUAREZ,SAN_IGNACIO_RIO_MUERTO
2020-11-30,1.85794177210486,4.29938425565486,0.190659223330588,1.00335119298457,0,3.41600054656009,0,0,0,6.45682001614205,0.411377889672564,13.0463144161774,1.49229231021773,4.07348568169783,2.86401649673502,0.26715652487067,0.589123214465724,6.27662283894065,0,0,0,4.90160037252163,0,0.648117542597525,0.388352832529055,2.63350556459726,4.71942989286894,0.424999309376122,1.25117469282517,0,0,0.367799858029255,5.04973993839317,0.379858388792658,2.73763776441618,0,0.920530593834286,0.824715060946443,3.11032316257659,9.6106366549682,0.984900034094922,1.18696027028164,0,0,0,0,0.607686166556144,0,0,0,0.905821716169823,0,0,1.7705717104273,0.443834911166442,0,3.52668377108296,0,0,0,0,0,0,0,0.557078236067473,3.33233363324336,0,0,1.04833890700186,0.658570638286663,0.333490073667957
2020-12-01,0,4.24758444534576,0.190659223330588,1.00335119298457,0,5.12400081984013,0,0,0,9.68523002421307,0.411377889672564,13.0463144161774,1.49229231021773,4.07348568169783,2.86401649673502,0.320587829844803,0.600032903622497,6.03521426821216,0,0,0,4.08466697710136,0,0.648117542597525,0.388352832529055,3.16020667751671,4.71942989286894,0.36428512232239,1.28169114874773,0,0,0.306499881691046,5.04973993839317,0.759716777585316,2.73763776441618,0,0.920530593834286,0.824715060946443,3.11032316257659,9.6106366549682,0.984900034094922,1.29486574939816,0,0,0,0,0.683646937375662,0,0,0,0.905821716169823,0,0,1.91413157884033,0.443834911166442,0,3.52668377108296,0,0,0,0,0,0,0,1.11415647213495,3.33233363324336,0,0,1.39778520933581,0.658570638286663,0
2020-12-02,0,4.35118406596395,0.190659223330588,1.00335119298457,0,5.12400081984013,0,0,0,9.68523002421307,0.411377889672564,10.4370515329419,1.49229231021773,4.07348568169783,2.86401649673502,0.374019134818937,0.643671660249587,6.39732712430489,0,0,0,3.26773358168109,0,0.648117542597525,0.388352832529055,3.16020667751671,4.71942989286894,0.36428512232239,1.35798228855415,0,0,0.306499881691046,5.04973993839317,1.13957516637797,3.45806875505202,0,0.920530593834286,0.824715060946443,3.11032316257659,9.6106366549682,0.840061793786845,1.31284999591758,0,0,0,0,0.683646937375662,0,0,0,0.905821716169823,0,0,2.03376480251785,0.443834911166442,0,4.4083547138537,0,0,0,0,0,0,0,1.11415647213495,3.33233363324336,0,0,2.09667781400371,0.878094184382217,0
2020-12-03,0,4.24758444534576,0.190659223330588,1.00335119298457,8.0915968766436,5.12400081984013,0,0,0,6.45682001614205,0.411377889672564,10.4370515329419,1.49229231021773,4.07348568169783,1.90934433115668,0.427450439793071,0.687310416876678,6.27662283894065,0,0,0,3.26773358168109,0,0.55552932222645,0.388352832529055,2.10680445167781,4.71942989286894,0.36428512232239,1.34272406059286,0,0,0.306499881691046,5.04973993839317,1.51943355517063,3.45806875505202,0,0.920530593834286,0.824715060946443,3.11032316257659,9.94203791893262,0.86902944184846,1.38478698199525,0,0,0,0.52202420104196,0.683646937375662,0,0,0,0.905821716169823,0,0,2.00983815778234,0.443834911166442,0,4.4083547138537,0,0,0,0,0,0,0,1.11415647213495,3.33233363324336,0,0,2.79557041867161,0.878094184382217,0
2020-12-04,0,4.04038520410938,0.190659223330588,1.00335119298457,8.0915968766436,5.12400081984013,0,0,0,6.45682001614205,0.411377889672564,10.4370515329419,1.49229231021773,4.07348568169783,1.90934433115668,0.480881744767205,0.709129795190224,6.39732712430489,0,0,0,3.26773358168109,0,0.55552932222645,0.388352832529055,2.10680445167781,4.71942989286894,0.394642215849256,1.34781013657996,0,0,0.306499881691046,5.04973993839317,1.13957516637797,3.60215495317919,0,1.84106118766857,0.824715060946443,3.11032316257659,10.273439182897,0.840061793786845,1.34881848895641,0,0,0,0.52202420104196,0.683646937375662,0,0,0,0.905821716169823,0,0,2.03376480251785,0.443834911166442,0,4.4083547138537,0,0,0,0,0,0,0,1.11415647213495,3.33233363324336,0,0,2.79557041867161,0.878094184382217,0
2020-12-05,0,4.14398482472757,0.190659223330588,1.00335119298457,8.0915968766436,5.12400081984013,0,0,0,6.45682001614205,0.411377889672564,10.4370515329419,1.49229231021773,4.07348568169783,2.86401649673502,0.480881744767205,0.730949173503769,5.79380569748368,0,0,0,3.26773358168109,0,0.55552932222645,0.388352832529055,1.58010333875835,4.71942989286894,0.424999309376122,1.40375697243799,0,0,0.306499881691046,5.04973993839317,1.13957516637797,3.60215495317919,0,1.84106118766857,1.64943012189289,3.11032316257659,9.6106366549682,0.840061793786845,1.40277122851467,0,0,0,0.52202420104196,0.683646937375662,0,0,0,0.905821716169823,0,0,2.00983815778234,0.443834911166442,0,4.70224502811061,0,0,0,0,0,0,0,1.11415647213495,3.33233363324336,0,0,2.79557041867161,0.878094184382217,0
2020-12-06,0,4.19578463503667,0.190659223330588,1.00335119298457,8.0915968766436,5.12400081984013,0,0,0,6.45682001614205,0.411377889672564,10.4370515329419,1.49229231021773,4.07348568169783,2.86401649673502,0.534313049741339,0.77458793013086,5.91450998284792,0,0,0,3.26773358168109,0,0.55552932222645,0.310682266023244,1.58010333875835,4.71942989286894,0.455356402902988,1.45461773230894,0,0,0.306499881691046,5.04973993839317,1.13957516637797,3.45806875505202,0,1.84106118766857,1.64943012189289,3.11032316257659,8.94783412703936,0.86902944184846,1.40277122851467,0,0,0,0.52202420104196,0.683646937375662,0,0,0,0.905821716169823,0,0,2.10554473672436,0.443834911166442,0,5.29002565662443,0,0,0,0,0,0,0,1.11415647213495,3.33233363324336,0,0,2.79557041867161,0.878094184382217,0
2020-12-07,0,4.14398482472757,0.190659223330588,1.00335119298457,8.0915968766436,5.12400081984013,0,0,0,9.68523002421307,0.411377889672564,10.4370515329419,1.49229231021773,4.07348568169783,2.86401649673502,0.587744354715473,0.850955754228268,5.91450998284792,0,0,0,1.63386679084054,0,0.55552932222645,0.310682266023244,1.58010333875835,4.71942989286894,0.485713496429854,1.50039241619278,0,0,0.367799858029255,5.04973993839317,1.51943355517063,3.60215495317919,0,1.84106118766857,1.64943012189289,3.11032316257659,8.28503159911052,0.984900034094922,1.49269246111176,0,0,0,0.52202420104196,0.75960770819518,0,0,0,0.905821716169823,0,0,2.22517796040188,0.443834911166442,0,5.58391597088135,0,0,0,0,0,0,0,1.67123470820242,3.33233363324336,0,0,2.79557041867161,1.09761773047777,0
2020-12-08,0,4.09218501441848,0.190659223330588,1.00335119298457,8.0915968766436,3.41600054656009,0,0,0,9.68523002421307,0.411377889672564,7.82778864970646,1.49229231021773,4.07348568169783,2.86401649673502,0.587744354715473,0.861865443385041,5.91450998284792,0,0,0,3.26773358168109,0,0.648117542597525,0.388352832529055,1.58010333875835,4.71942989286894,0.455356402902988,1.58685570797339,0,0,0.367799858029255,5.04973993839317,1.51943355517063,3.60215495317919,0,1.84106118766857,1.64943012189289,3.11032316257659,8.61643286307494,0.955932386033306,1.56462944718944,0,0,0,0.52202420104196,0.987490020653734,0,0,0,0.905821716169823,0,0,2.22517796040188,0.443834911166442,0,5.58391597088135,0,0,0,0,0,0,0,1.67123470820242,3.33233363324336,0,0,2.79557041867161,1.09761773047777,0
2020-12-09,0,3.98858539380029,0.190659223330588,1.00335119298457,8.0915968766436,3.41600054656009,0,0,0,9.68523002421307,0.411377889672564,2.60926288323549,1.49229231021773,4.07348568169783,2.86401649673502,0.587744354715473,0.894594510855359,5.3109885560267,0,0,0,4.08466697710136,0,0.7407057629686,0.388352832529055,1.58010333875835,4.71942989286894,0.455356402902988,1.60211393593467,0,0,0.367799858029255,5.04973993839317,1.51943355517063,3.89032734943353,0,1.84106118766857,1.64943012189289,3.11032316257659,7.9536303351461,1.01386768215654,1.6185821867477,0,0,0,0.52202420104196,1.06345079147325,0,0,0,0.905821716169823,0,0,2.36873782881491,0.443834911166442,0,5.58391597088135,0,0,0,0,0,0,0,1.11415647213495,3.33233363324336,0,0,2.79557041867161,0.878094184382217,0
