NOM_REGION,CLAVE_REGION,NOM_MUN,CVEGEO,POBTOT,POB_HOM,POR_HOM,POB_MUJ,POR_MUJ,POB_EDAD_0_14,POR_EDAD_0_14,POB_EDAD_15_64,POR_EDAD_15_64,POB_EDAD_65+,POR_EDAD_65+,SUPERFICIE,DENSIDAD,POB_RURAL,POB_ETNIA,POB_MIGRANTE,POBREZA_ING,POBREZA_ING_EXTR,POBREZA_MULTI,MARGINACION_1,VULNERABILIDAD_SOCIAL,PRIORIDAD_SOCIAL,REZAGO_SOCIAL_1,IMN_num,REZAGO_SOCIAL_NUM,longitud,latitud,Hospitalizados,Muertes,Positivos,TASA_HospitalizadoS,TASA_Muertes,TASA_Positivos
VERACRUZ,30,RAFAEL LUCIO,30136,8343,4319,51.77,4024,48.23,2281,27.34,5528,66.26,534,6.4,1145.19,7.29,100,0.58,,64.44,6.39,,Bajo,,,Bajo,0.86,-0.45,-96.99,19.59,0,0,0,0,0,0
VERACRUZ,30,LOS REYES,30137,6308,3211,50.9,3097,49.1,1992,31.58,3936,62.4,380,6.02,3407.41,1.85,100,98.45,,93.9,41.57,,Muy alto,,,Muy alto,0.76,2.19,-97.04,18.67,0,0,0,0,0,0
VERACRUZ,30,RIO BLANCO,30138,41795,22483,53.79,19312,46.21,8879,21.24,27837,66.6,5075,12.14,1517.6,27.54,0.02,3.31,,43.7,4.68,,Muy bajo,,,Muy bajo,0.93,-1.13,-97.14,18.84,0,0,0,0,0,0
VERACRUZ,30,SALTABARRANCA,30139,6126,3174,51.81,2952,48.19,1317,21.5,3936,64.25,873,14.25,10810.91,0.57,100,0.2,,54.1,6.73,,Medio,,,Bajo,0.83,-0.15,-95.53,18.59,0,0,0,0,0,0
VERACRUZ,30,SAN ANDRES TENEJAPAN,30140,3134,1614,51.5,1520,48.5,910,29.04,2052,65.48,172,5.49,2181.52,1.44,100,98.05,,86.21,37.07,,Alto,,,Medio,0.79,0.9,-97.09,18.79,0,0,0,0,0,0
VERACRUZ,30,SAN ANDRES TUXTLA,30141,162428,85442,52.6,76986,47.4,41695,25.67,105160,64.74,15557,9.58,95380.22,1.7,56.98,0.93,,79.35,31.4,,Medio,,,Medio,0.84,0.19,-95.21,18.45,0,0,0,0,0,0
VERACRUZ,30,SAN JUAN EVANGELISTA,30142,32631,16633,50.97,15998,49.03,8322,25.5,20707,63.46,3585,10.99,126049.36,0.26,100,1.81,,69.05,14.5,,Medio,,,Bajo,0.83,0.02,-95.14,17.89,0,0,0,0,0,0
VERACRUZ,30,SANTIAGO TUXTLA,30143,57085,29981,52.52,27104,47.48,13558,23.75,36622,64.15,6901,12.09,61598,0.93,72.44,0.61,,75.55,25.7,,Medio,,,Medio,0.83,0.26,-95.3,18.47,0,0,0,0,0,0
VERACRUZ,30,SAYULA DE ALEMAN,30144,32400,16771,51.76,15629,48.24,8979,27.71,20387,62.92,3034,9.36,66194.53,0.49,53.35,34.57,,78.45,27.38,,Medio,,,Bajo,0.83,-0.1,-94.96,17.88,0,0,0,0,0,0
VERACRUZ,30,SOCONUSCO,30145,16574,8648,52.18,7926,47.82,4085,24.65,11227,67.74,1255,7.57,9610.56,1.72,61.89,3.37,,68.18,18.65,,Bajo,,,Bajo,0.86,-0.52,-94.88,17.96,0,0,0,0,0,0
