dates,AZCAPOTZALCO,COYOACAN,CUAJIMALPA_DE_MORELOS,GUSTAVO_A_MADERO,IZTACALCO,IZTAPALAPA,LA_MAGDALENA_CONTRERAS,MILPA_ALTA,ALVARO_OBREGON,TLAHUAC,TLALPAN,XOCHIMILCO,BENITO_JUAREZ,CUAUHTEMOC,MIGUEL_HIDALGO,VENUSTIANO_CARRANZA
2020-03-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-05,0,0,0,0,0,0,0.0192305399435622,0,0,0,0.0068034208688676,0,0,0,0,0
2020-03-06,0,0,0,0,0,0,0.0192305399435622,0,0,0,0.0068034208688676,0,0,0,0,0
2020-03-07,0,0,0,0,0,0,0.0192305399435622,0,0,0,0.0068034208688676,0,0,0,0,0
2020-03-08,0,0,0,0,0,0,0.0192305399435622,0,0,0,0.0068034208688676,0,0,0,0,0
2020-03-09,0,0,0,0,0,0,0.0192305399435622,0,0,0,0.0068034208688676,0,0,0,0,0
2020-03-10,0,0,0,0,0,0,0.0192305399435622,0,0,0,0.0068034208688676,0,0,0,0,0
2020-03-11,0,0,0,0,0.0117666508405213,0.00259435635134496,0.0192305399435622,0,0,0,0.0068034208688676,0,0.0109682640956178,0,0,0
2020-03-12,0,0.00774990318433447,0.0218751080083458,0.00405838045214498,0.0117666508405213,0.00259435635134496,0.0192305399435622,0,0,0,0.0068034208688676,0,0.0109682640956178,0,0.011489142186177,0
2020-03-13,0,0.00774990318433447,0.0218751080083458,0.00405838045214498,0.0117666508405213,0.00259435635134496,0.0192305399435622,0,0.00627278707519823,0,0.0068034208688676,0,0.0109682640956178,0,0.0229782843723539,0
2020-03-14,0,0.00774990318433447,0.0218751080083458,0.00405838045214498,0.0117666508405213,0.00259435635134496,0.0192305399435622,0,0.00627278707519823,0,0.0068034208688676,0,0.0109682640956178,0,0.0229782843723539,0
2020-03-15,0,0.00774990318433447,0.0218751080083458,0.00811676090428995,0.0117666508405213,0.00259435635134496,0.0192305399435622,0,0.00627278707519823,0,0.0068034208688676,0,0.0109682640956178,0,0.0344674265585309,0
2020-03-16,0,0.00774990318433447,0.0218751080083458,0.00811676090428995,0.0117666508405213,0.00259435635134496,0.0192305399435622,0,0.0188183612255947,0,0.0068034208688676,0,0.0219365281912356,0,0.0459565687447078,0
2020-03-17,0,0.0154998063686689,0.0437502160166916,0.00811676090428995,0.0235333016810426,0.00259435635134496,0.0192305399435622,0,0.0188183612255947,0,0.0068034208688676,0,0.0329047922868534,0,0.0459565687447078,0
2020-03-18,0,0.0154998063686689,0.0437502160166916,0.0121751413564349,0.0235333016810426,0.0103774254053799,0.0192305399435622,0,0.0188183612255947,0,0.0068034208688676,0,0.0438730563824713,0,0.0459565687447078,0
2020-03-19,0,0.0232497095530034,0.0656253240250374,0.0121751413564349,0.0705999050431277,0.0389153452701745,0.0384610798871244,0,0.0188183612255947,0.0242760487768938,0.0272136834754704,0,0.0438730563824713,0,0.0689348531170617,0.0321964965060362
