"dates","AMEALCO_DE_BONFIL","PINAL_DE_AMOLES","ARROYO_SECO","CADEREYTA_DE_MONTES","COLON","CORREGIDORA","EZEQUIEL_MONTES","HUIMILPAN","JALPAN_DE_SERRA","LANDA_DE_MATAMOROS","EL_MARQUES","PEDRO_ESCOBEDO","PENAMILLER","QUERETARO","SAN_JOAQUIN","SAN_JUAN_DEL_RIO","TEQUISQUIAPAN","TOLIMAN"
"2020-05-24","0.142484545769954","0","0","0.620443617186288","0.283780322814306","0.201617103582131","0","0.258742923381045","0.174154436671351","0","0.246658395388475","0.676721518021709","0","0.562477736201298","0","0.431731704649463","0.461674122703748","0.170579766510416"
"2020-05-25","0.284969091539909","0","0","0.551505437498923","0.283780322814306","0.201617103582131","0","0.258742923381045","0.174154436671351","0","0.28776812795322","0.676721518021709","0","0.598766622407834","0","0.511682020325289","0.461674122703748","0.170579766510416"
"2020-05-26","0.284969091539909","0","0","0.551505437498923","0.283780322814306","0.201617103582131","0","0.258742923381045","0.174154436671351","0","0.308322994235593","0.676721518021709","0","0.603302733183651","0","0.54366214659562","0.395720676603213","0.170579766510416"
"2020-05-27","0.284969091539909","0","0","0.551505437498923","0.283780322814306","0.201617103582131","0","0.388114385071568","0.174154436671351","0","0.308322994235593","0.615201380019736","0","0.630519397838552","0","0.559652209730785","0.395720676603213","0.170579766510416"
"2020-05-28","0.213726818654932","0","0","0.620443617186288","0.283780322814306","0.201617103582131","0","0.388114385071568","0.174154436671351","0","0.328877860517966","0.615201380019736","0","0.630519397838552","0","0.559652209730785","0.395720676603213","0.170579766510416"
"2020-05-29","0.213726818654932","0","0","0.620443617186288","0.283780322814306","0.179215203184116","0","0.388114385071568","0.174154436671351","0","0.369987593082712","0.553681242017762","0","0.675880505596721","0","0.54366214659562","0.461674122703748","0.170579766510416"
"2020-05-30","0.213726818654932","0","0","0.620443617186288","0.283780322814306","0.179215203184116","0","0.388114385071568","0","0","0.390542459365085","0.553681242017762","0","0.716705502579074","0","0.559652209730785","0.593581014904819","0.170579766510416"
"2020-05-31","0.142484545769954","0","0","0.620443617186288","0.283780322814306","0.24642090437816","0","0.388114385071568","0.174154436671351","0","0.390542459365085","0.553681242017762","0","0.703097170251623","0","0.591632336001115","0.659534461005355","0.170579766510416"
"2020-06-01","0.142484545769954","0","0","0.551505437498923","0.283780322814306","0.201617103582131","0","0.388114385071568","0.174154436671351","0","0.411097325647458","0.553681242017762","0","0.712169391803257","0","0.54366214659562","0.659534461005355","0"
"2020-06-02","0.142484545769954","0","0","0.482567257811557","0.283780322814306","0.179215203184116","0","0.388114385071568","0.174154436671351","0","0.431652191929831","0.615201380019736","0","0.789283274992145","0","0.559652209730785","0.72548790710589","0"
"2020-06-03","0.142484545769954","0","0","0.482567257811557","0.283780322814306","0.201617103582131","0","0.388114385071568","0.174154436671351","0","0.452207058212204","0.615201380019736","0","0.793819385767962","0","0.591632336001115","0.72548790710589","0"
"2020-06-04","0.142484545769954","0","0","0.344690898436827","0.283780322814306","0.201617103582131","0","0.388114385071568","0.174154436671351","0","0.472761924494576","0.676721518021709","0","0.807427718095412","0","0.591632336001115","0.72548790710589","0"
"2020-06-05","0.142484545769954","0","0","0.344690898436827","0.354725403517883","0.201617103582131","0.105489571828377","0.388114385071568","0.174154436671351","0","0.472761924494576","0.615201380019736","0","0.802891607319595","0","0.559652209730785","0.659534461005355","0"
"2020-06-06","0.142484545769954","0","0","0.275752718749461","0.354725403517883","0.179215203184116","0.105489571828377","0.517485846762091","0.174154436671351","0","0.472761924494576","0.553681242017762","0","0.839180493526131","0","0.495691957190124","0.659534461005355","0"
"2020-06-07","0.142484545769954","0","0","0.275752718749461","0.354725403517883","0.179215203184116","0.105489571828377","0.517485846762091","0.174154436671351","0","0.472761924494576","0.553681242017762","0","0.875469379732666","0","0.54366214659562","0.659534461005355","0"
"2020-06-08","0.142484545769954","0","0","0.344690898436827","0.354725403517883","0.179215203184116","0.210979143656754","0.517485846762091","0.174154436671351","0","0.411097325647458","0.492161104015788","0","0.880005490508483","0","0.527672083460454","0.659534461005355","0"
"2020-06-09","0.142484545769954","0","0","0.275752718749461","0.354725403517883","0.156813302786102","0.210979143656754","0.388114385071568","0.174154436671351","0","0.411097325647458","0.369120828011841","0","0.870933268956849","0","0.511682020325289","0.659534461005355","0"
"2020-06-10","0.142484545769954","0","0","0.206814539062096","0.354725403517883","0.179215203184116","0.210979143656754","0.388114385071568","0.174154436671351","0","0.431652191929831","0.246080552007894","0","0.875469379732666","0","0.54366214659562","0.593581014904819","0"
"2020-06-11","0.142484545769954","0","0","0.275752718749461","0.354725403517883","0.224019003980146","0.210979143656754","0.388114385071568","0.174154436671351","0","0.431652191929831","0.184560414005921","0","0.880005490508483","0","0.559652209730785","0.527627568804284","0"
"2020-06-12","0.142484545769954","0","0","0.206814539062096","0.354725403517883","0.224019003980146","0.210979143656754","0.388114385071568","0.174154436671351","0","0.431652191929831","0.184560414005921","0","0.911758265939202","0","0.559652209730785","0.461674122703748","0"
"2020-06-13","0.142484545769954","0","0","0.206814539062096","0.425670484221459","0.224019003980146","0.210979143656754","0.388114385071568","0.174154436671351","0","0.452207058212204","0.184560414005921","0","0.934438819818286","0","0.527672083460454","0.461674122703748","0"
"2020-06-14","0.142484545769954","0","0","0.206814539062096","0.354725403517883","0.201617103582131","0.210979143656754","0.388114385071568","0.174154436671351","0","0.472761924494576","0.246080552007894","0","0.975263816800638","0","0.527672083460454","0.461674122703748","0"
"2020-06-15","0.0712422728849772","0","0","0.206814539062096","0.354725403517883","0.24642090437816","0.210979143656754","0.517485846762091","0.174154436671351","0","0.452207058212204","0.307600690009868","0","1.01155270300717","0","0.495691957190124","0.461674122703748","0"
"2020-06-16","0.0712422728849772","0","0","0.206814539062096","0.354725403517883","0.268822804776175","0.210979143656754","0.517485846762091","0.174154436671351","0","0.431652191929831","0.307600690009868","0","1.03876936766208","0","0.479701894054959","0.461674122703748","0"
"2020-06-17","0.0712422728849772","0","0","0.275752718749461","0.354725403517883","0.336028505970218","0.210979143656754","0.388114385071568","0.174154436671351","0","0.452207058212204","0.307600690009868","0","1.03423325688626","0","0.479701894054959","0.461674122703748","0"
"2020-06-18","0.0712422728849772","0","0","0.206814539062096","0.354725403517883","0.358430406368233","0.210979143656754","0.517485846762091","0.174154436671351","0","0.431652191929831","0.307600690009868","0","1.05691381076534","0","0.511682020325289","0.461674122703748","0"
"2020-06-19","0.0712422728849772","0","0","0.206814539062096","0.354725403517883","0.358430406368233","0.210979143656754","0.517485846762091","0.174154436671351","0","0.390542459365085","0.307600690009868","0","1.03423325688626","0","0.527672083460454","0.395720676603213","0"
"2020-06-20","0.0712422728849772","0","0","0.206814539062096","0.354725403517883","0.380832306766248","0.210979143656754","0.517485846762091","0.174154436671351","0","0.349432726800339","0.307600690009868","0","1.01608881378299","0","0.559652209730785","0.263813784402142","0"
"2020-06-21","0.0712422728849772","0","0","0.275752718749461","0.283780322814306","0.336028505970218","0.210979143656754","0.517485846762091","0","0","0.349432726800339","0.369120828011841","0","1.01608881378299","0","0.54366214659562","0.197860338301606","0"
"2020-06-22","0.0712422728849772","0","0","0.275752718749461","0.354725403517883","0.358430406368233","0.316468715485131","0.517485846762091","0","0","0.369987593082712","0.430640966013815","0","1.04784158921371","0","0.57564227286595","0.197860338301606","0"
"2020-06-23","0.0712422728849772","0","0","0.275752718749461","0.354725403517883","0.358430406368233","0.316468715485131","0.517485846762091","0","0","0.369987593082712","0.369120828011841","0","0.984336038352272","0","0.559652209730785","0.131906892201071","0"
"2020-06-24","0.142484545769954","0","0","0.275752718749461","0.354725403517883","0.358430406368233","0.316468715485131","0.517485846762091","0","0","0.349432726800339","0.430640966013815","0","0.966191595249005","0","0.511682020325289","0.131906892201071","0"
"2020-06-25","0.142484545769954","0","0.362342471610467","0.275752718749461","0.354725403517883","0.358430406368233","0.421958287313508","0.517485846762091","0","0","0.328877860517966","0.369120828011841","0","0.970727706024821","0","0.511682020325289","0.0659534461005355","0"
"2020-06-26","0.142484545769954","0","0.362342471610467","0.275752718749461","0.283780322814306","0.313626605572204","0.316468715485131","0.517485846762091","0","0","0.328877860517966","0.492161104015788","0","0.988872149128089","0","0.527672083460454","0","0"
"2020-06-27","0.142484545769954","0","0.362342471610467","0.275752718749461","0.354725403517883","0.313626605572204","0.316468715485131","0.388114385071568","0","0","0.308322994235593","0.492161104015788","0","0.938974930594103","0","0.511682020325289","0","0"
"2020-06-28","0.213726818654932","0","0.362342471610467","0.275752718749461","0.354725403517883","0.336028505970218","0.316468715485131","0.388114385071568","0","0","0.28776812795322","0.492161104015788","0","0.907222155163385","0","0.479701894054959","0","0"
"2020-06-29","0.213726818654932","0","0.362342471610467","0.206814539062096","0.283780322814306","0.336028505970218","0.210979143656754","0.388114385071568","0","0","0.308322994235593","0.492161104015788","0","0.920830487490835","0","0.479701894054959","0","0"
"2020-06-30","0.213726818654932","0","0.362342471610467","0.206814539062096","0.354725403517883","0.358430406368233","0.210979143656754","0.388114385071568","0","0","0.349432726800339","0.553681242017762","0","0.925366598266652","0","0.495691957190124","0","0"
"2020-07-01","0.213726818654932","0","0.362342471610467","0.206814539062096","0.425670484221459","0.358430406368233","0.316468715485131","0.258742923381045","0.174154436671351","0","0.328877860517966","0.615201380019736","0","0.938974930594103","0","0.511682020325289","0.0659534461005355","0"
"2020-07-02","0.213726818654932","0","0.362342471610467","0.137876359374731","0.425670484221459","0.313626605572204","0.316468715485131","0.258742923381045","0.174154436671351","0","0.328877860517966","0.676721518021709","0","0.975263816800638","0","0.495691957190124","0.0659534461005355","0"
"2020-07-03","0.213726818654932","0","0.362342471610467","0.137876359374731","0.425670484221459","0.336028505970218","0.316468715485131","0.258742923381045","0.174154436671351","0","0.369987593082712","0.676721518021709","0","0.957119373697371","0","0.479701894054959","0.131906892201071","0"
"2020-07-04","0.213726818654932","0","0.362342471610467","0.137876359374731","0.354725403517883","0.336028505970218","0.316468715485131","0.258742923381045","0.174154436671351","0","0.349432726800339","0.738241656023683","0","0.934438819818286","0","0.447721767784628","0.131906892201071","0"
