"dates","AZCAPOTZALCO","COYOACAN","CUAJIMALPA_DE_MORELOS","GUSTAVO_A_MADERO","IZTACALCO","IZTAPALAPA","LA_MAGDALENA_CONTRERAS","MILPA_ALTA","ALVARO_OBREGON","TLAHUAC","TLALPAN","XOCHIMILCO","BENITO_JUAREZ","CUAUHTEMOC","MIGUEL_HIDALGO","VENUSTIANO_CARRANZA"
"2020-03-03","0","0.00774990318433447","0","0","0","0.00259435635134496","0","0","0.00627278707519823","0","0.0204102626066028","0","0","0.00872329059269874","0","0"
"2020-03-04","0","0.00774990318433447","0","0","0.0117666508405213","0.00259435635134496","0","0","0.0125455741503965","0","0.0408205252132056","0","0","0.00872329059269874","0","0"
"2020-03-05","0","0.00774990318433447","0","0","0.0117666508405213","0.00259435635134496","0","0","0.0188183612255947","0","0.0408205252132056","0","0.0109682640956178","0.00872329059269874","0.0229782843723539","0"
"2020-03-06","0","0.00774990318433447","0.0218751080083458","0","0.0117666508405213","0.00259435635134496","0","0","0.0313639353759912","0","0.0476239460820732","0","0.0219365281912356","0.00872329059269874","0.0459565687447078","0"
"2020-03-07","0","0.00774990318433447","0.0218751080083458","0","0.0117666508405213","0.00259435635134496","0","0","0.0376367224511894","0","0.0544273669509408","0","0.0219365281912356","0.00872329059269874","0.126380564047946","0"
"2020-03-08","0","0.00774990318433447","0.0437502160166916","0","0.0117666508405213","0.00259435635134496","0","0","0.0501822966015859","0","0.0612307878198084","0","0.0219365281912356","0.00872329059269874","0.172337132792654","0"
"2020-03-09","0","0.00774990318433447","0.131250648050075","0","0.0235333016810426","0.00259435635134496","0.0192305399435622","0","0.081546231977577","0","0.0952478921641464","0","0.0219365281912356","0.00872329059269874","0.241271985909716","0"
"2020-03-10","0","0.0232497095530034","0.240626188091804","0","0.0235333016810426","0.00259435635134496","0.0384610798871244","0","0.100364593203172","0","0.108854733901882","0","0.0329047922868534","0.0174465811853975","0.344674265585309","0"
"2020-03-11","0","0.0309996127373379","0.284376404108495","0.00811676090428995","0.0235333016810426","0.00518871270268993","0.0384610798871244","0","0.125455741503965","0","0.108854733901882","0","0.0767778486693247","0.0174465811853975","0.425098260888547","0.0107321655020121"
"2020-03-12","0","0.0464994191060068","0.371876836141878","0.00811676090428995","0.0588332542026064","0.0285379198647946","0.0576916198306866","0","0.150546889804758","0.0242760487768938","0.122461575639617","0","0.0987143768605603","0.0261698717780962","0.471054829633255","0.0321964965060362"
"2020-03-13","0.0110176993831741","0.0542493222903413","0.546877700208645","0.00811676090428995","0.0588332542026064","0.0389153452701745","0.0961526997178111","0","0.188183612255947","0.0242760487768938","0.163282100852822","0","0.109682640956178","0.0523397435561925","0.562967967122671","0.0536608275100603"
"2020-03-14","0.0220353987663482","0.0697491286590102","0.634378132242028","0.0121751413564349","0.0705999050431277","0.0492927706755543","0.115383239661373","0","0.219547547631938","0.0242760487768938","0.176888942590558","0.0215384065326849","0.120650905051796","0.0610630341488912","0.689348531170617","0.0751251585140845"
"2020-03-15","0.0220353987663482","0.0929988382120136","0.765628780292103","0.0162335218085799","0.105899857564692","0.0674532651349691","0.134613779604935","0","0.238365908857533","0.0364140731653406","0.204102626066028","0.0215384065326849","0.142587433243032","0.06978632474159","0.79275081084621","0.0751251585140845"
"2020-03-16","0.0220353987663482","0.116248547765017","0.940629644358869","0.0284086631650148","0.129433159245734","0.072641977837659","0.17307485949206","0","0.250911483007929","0.0364140731653406","0.217709467803763","0.0430768130653697","0.197428753721121","0.0872329059269875","0.953598801452687","0.0965894895181086"
"2020-03-17","0.0330530981495223","0.154998063686689","0.962504752367215","0.0324670436171598","0.164733111767298","0.101179897702454","0.17307485949206","0","0.282275418383921","0.0364140731653406","0.224512888672631","0.0430768130653697","0.25227007419921","0.113402777705084","1.02253365456975","0.107321655020121"
"2020-03-18","0.0440707975326964","0.154998063686689","1.02813007639225","0.0405838045214498","0.188266413448341","0.124529104864558","0.192305399435622","0","0.288548205459119","0.0364140731653406","0.251726572148101","0.0430768130653697","0.285174866486063","0.148295940075879","1.11444679205916","0.128785986024145"
"2020-03-19","0.0771238956822187","0.154998063686689","1.11563050842564","0.0487005654257397","0.235333016810426","0.140095242972628","0.249997019266309","0","0.313639353759912","0.0485520975537875","0.285743676492439","0.0538460163317121","0.307111394677299","0.191912393039372","1.1489142186177","0.139518151526157"
"2020-03-20","0.0991592944485669","0.162747966871024","1.18125583245067","0.101459511303624","0.27063296933199","0.181604944594147","0.288458099153433","0","0.382640011587092","0.0485520975537875","0.299350518230174","0.0969228293970818","0.340016186964152","0.218082264817469","1.20635992954858","0.193178979036217"
"2020-03-21","0.0991592944485669","0.185997676424027","1.24688115647571","0.105517891755769","0.282399620172511","0.189388013648182","0.326919179040558","0","0.382640011587092","0.0485520975537875","0.319760780836777","0.107692032663424","0.372920979251006","0.270422008373661","1.24082735610711","0.225375475542253"
"2020-03-22","0.143230091981263","0.216997289161365","1.26875626448406","0.117693033112204","0.305932921853553","0.228303358918357","0.326919179040558","0","0.395185585737489","0.0485520975537875","0.333367622574512","0.129230439196109","0.405825771537859","0.27914529896636","1.24082735610711","0.268304137550302"
"2020-03-23","0.165265490747612","0.278996514636041","1.2906313724924","0.137984935372929","0.352999525215639","0.272407416891221","0.34614971898412","0.0311877706513722","0.420276734038282","0.0849661707191282","0.36738472691885","0.139999642462452","0.427762299729095","0.322761751929854","1.28678392485182","0.321964965060362"
"2020-03-24","0.176283190130786","0.286746417820375","1.35625669651744","0.150160076729364","0.376532826896681","0.300945336756016","0.365380258927682","0.0623755413027444","0.42654952111348","0.0849661707191282","0.401401831263188","0.204614862060506","0.438730563824713","0.340208333115251","1.37869706234123","0.321964965060362"
"2020-03-25","0.220353987663482","0.309996127373379","1.40000691253413","0.174510359442234","0.400066128577724","0.337266325674845","0.365380258927682","0.0623755413027444","0.451640669414273","0.109242219496022","0.421812093869791","0.215384065326849","0.482603620207184","0.392548076671444","1.40167534671359","0.375625792570422"
"2020-03-26","0.308495582728875","0.340995740110717","1.40000691253413","0.223210924867974","0.435366081099288","0.399530878107124","0.403841338814806","0.0623755413027444","0.514368540166255","0.133518268272916","0.455829198214129","0.247691675125876","0.493571884302802","0.48850427319113","1.4476319154583","0.429286620080483"
"2020-03-27","0.396637177794268","0.371995352848055","1.40000691253413","0.251619588032989","0.517732636982937","0.412502659863849","0.423071878758369","0.0623755413027444","0.520641327241454","0.133518268272916","0.462632619082997","0.290768488191246","0.559381468876509","0.523397435561925","1.51656676857536","0.493679613092555"
"2020-03-28","0.42969027594379","0.395245062401058","1.46563223655917","0.300320153458728","0.564799240345022","0.441040579728644","0.442302418701931","0.0623755413027444","0.545732475542246","0.145656292661363","0.517059986033938","0.31230689472393","0.60325452525898","0.584460469710816","1.48209934201683","0.536608275100603"
"2020-03-29","0.473761073476486","0.418494771954061","1.46563223655917","0.336845577528033","0.623632494547628","0.464389786890749","0.480763498589055","0.124751082605489","0.545732475542246","0.145656292661363","0.523863406902805","0.3553837077893","0.658095845737069","0.645523503859707","1.45912105764447","0.579536937108652"
