,Andacollo,Canela,Combarbala,Coquimbo,Illapel,La Higuera,La Serena,Los Vilos,Monte Patria,Ovalle,Paiguano,Punitaqui,Rio Hurtado,Salamanca,Vicuna,Desconocido Coquimbo
2022-08-12,64.0,8.0,23.0,808.0,90.0,24.0,848.0,31.0,118.0,394.0,17.0,44.0,15.0,88.0,67.0,0.0
2022-08-15,34.0,11.0,15.0,630.0,66.0,11.0,582.0,44.0,67.0,242.0,21.0,11.0,8.0,65.0,61.0,0.0
2022-08-19,32.0,7.0,9.0,630.0,74.0,6.0,694.0,28.0,69.0,348.0,22.0,25.0,9.0,96.0,93.0,0.0
2022-08-22,25.0,6.0,15.0,432.0,50.0,2.0,460.0,31.0,49.0,283.0,8.0,12.0,7.0,77.0,63.0,0.0
2022-08-26,27.0,14.0,19.0,473.0,87.0,8.0,517.0,30.0,71.0,282.0,15.0,26.0,6.0,107.0,58.0,0.0
2022-08-29,13.0,15.0,17.0,307.0,56.0,8.0,274.0,31.0,43.0,141.0,11.0,9.0,7.0,55.0,50.0,0.0
2022-09-02,28.0,11.0,31.0,325.0,47.0,8.0,346.0,27.0,45.0,171.0,15.0,18.0,8.0,80.0,46.0,0.0
2022-09-05,28.0,6.0,11.0,182.0,31.0,3.0,223.0,14.0,29.0,146.0,5.0,5.0,3.0,46.0,32.0,0.0
2022-09-09,14.0,8.0,26.0,237.0,42.0,2.0,246.0,36.0,29.0,153.0,6.0,9.0,6.0,76.0,28.0,0.0
2022-09-12,7.0,5.0,9.0,161.0,36.0,1.0,155.0,10.0,17.0,73.0,1.0,4.0,7.0,51.0,13.0,0.0
2022-09-19,11.0,25.0,11.0,192.0,52.0,1.0,250.0,15.0,23.0,118.0,2.0,11.0,7.0,70.0,21.0,0.0
2022-09-23,3.0,6.0,7.0,96.0,34.0,1.0,143.0,24.0,18.0,63.0,6.0,6.0,11.0,42.0,2.0,0.0
2022-09-26,7.0,7.0,3.0,128.0,34.0,0.0,145.0,11.0,8.0,40.0,2.0,7.0,3.0,39.0,10.0,0.0
2022-10-03,17.0,7.0,11.0,174.0,56.0,2.0,273.0,20.0,16.0,109.0,6.0,29.0,2.0,65.0,15.0,0.0
2022-10-10,11.0,1.0,4.0,208.0,67.0,2.0,236.0,10.0,18.0,90.0,2.0,11.0,1.0,47.0,13.0,0.0
2022-10-14,2.0,4.0,4.0,123.0,33.0,0.0,174.0,7.0,4.0,40.0,0.0,3.0,0.0,16.0,4.0,0.0
2022-10-17,1.0,4.0,4.0,100.0,29.0,0.0,143.0,16.0,7.0,32.0,5.0,0.0,1.0,20.0,8.0,0.0
2022-10-21,6.0,23.0,0.0,179.0,41.0,2.0,249.0,25.0,11.0,45.0,1.0,1.0,2.0,23.0,10.0,0.0
2022-10-24,5.0,5.0,1.0,154.0,12.0,0.0,154.0,16.0,12.0,51.0,1.0,1.0,0.0,9.0,8.0,0.0
2022-10-28,5.0,4.0,3.0,241.0,39.0,0.0,292.0,30.0,10.0,108.0,7.0,8.0,1.0,22.0,14.0,0.0
2022-10-31,7.0,6.0,5.0,128.0,16.0,3.0,198.0,23.0,12.0,74.0,4.0,4.0,3.0,11.0,15.0,0.0
2022-11-04,5.0,3.0,4.0,139.0,26.0,10.0,231.0,19.0,14.0,84.0,4.0,7.0,0.0,19.0,16.0,0.0
2022-11-07,15.0,4.0,12.0,208.0,29.0,9.0,285.0,23.0,14.0,84.0,5.0,5.0,0.0,42.0,16.0,0.0
2022-11-11,23.0,9.0,8.0,235.0,51.0,5.0,374.0,43.0,35.0,162.0,9.0,22.0,4.0,34.0,27.0,0.0
2022-11-14,13.0,3.0,5.0,191.0,28.0,4.0,237.0,47.0,17.0,87.0,11.0,11.0,2.0,25.0,19.0,0.0
2022-11-18,5.0,5.0,7.0,328.0,59.0,2.0,359.0,43.0,26.0,146.0,18.0,17.0,1.0,41.0,22.0,1.0
2022-11-21,9.0,13.0,7.0,186.0,47.0,3.0,219.0,30.0,27.0,95.0,5.0,10.0,5.0,26.0,14.0,0.0
2022-11-25,10.0,15.0,12.0,295.0,52.0,4.0,355.0,39.0,34.0,133.0,16.0,12.0,4.0,36.0,25.0,0.0
2022-11-28,6.0,5.0,6.0,207.0,26.0,2.0,169.0,23.0,11.0,89.0,5.0,4.0,3.0,16.0,19.0,0.0
2022-12-02,10.0,3.0,16.0,283.0,29.0,5.0,329.0,25.0,35.0,117.0,8.0,11.0,2.0,30.0,30.0,0.0
2022-12-05,20.0,6.0,9.0,152.0,16.0,1.0,192.0,21.0,10.0,45.0,3.0,3.0,0.0,17.0,6.0,0.0
2022-12-09,5.0,5.0,19.0,224.0,39.0,0.0,285.0,21.0,27.0,123.0,4.0,11.0,3.0,29.0,8.0,0.0
2022-12-12,7.0,14.0,4.0,132.0,8.0,0.0,165.0,18.0,8.0,58.0,0.0,5.0,1.0,16.0,6.0,0.0
2022-12-16,2.0,5.0,7.0,211.0,27.0,7.0,285.0,23.0,24.0,96.0,0.0,13.0,3.0,31.0,12.0,0.0
2022-12-19,7.0,7.0,3.0,196.0,14.0,2.0,171.0,16.0,16.0,65.0,4.0,8.0,0.0,19.0,7.0,0.0
2022-12-23,7.0,8.0,7.0,270.0,29.0,1.0,316.0,23.0,30.0,126.0,4.0,6.0,1.0,20.0,26.0,0.0
2022-12-26,4.0,9.0,6.0,165.0,10.0,1.0,180.0,15.0,17.0,98.0,7.0,13.0,0.0,11.0,10.0,0.0
2022-12-30,17.0,17.0,11.0,373.0,41.0,5.0,462.0,34.0,25.0,257.0,8.0,8.0,9.0,60.0,25.0,0.0
2023-01-05,22.0,13.0,10.0,419.0,65.0,5.0,375.0,50.0,22.0,164.0,11.0,11.0,1.0,62.0,24.0,0.0
2023-01-09,5.0,5.0,8.0,170.0,41.0,2.0,198.0,35.0,10.0,123.0,4.0,20.0,2.0,34.0,20.0,0.0
