"dates","Algarrobo","Cabildo","Calera","Calle_Larga","Cartagena","Casablanca","Catemu","Concon","El_Quisco","El_Tabo","Hijuelas","Isla_de_Pascua","Juan_Fernandez","La_Cruz","La_Ligua","Limache","Llaillay","Los_Andes","Nogales","Olmue","Panquehue","Papudo","Petorca","Puchuncavi","Putaendo","Quillota","Quilpue","Quintero","Rinconada","San_Antonio","San_Esteban","San_Felipe","Santa_Maria","Santo_Domingo","Valparaiso","Villa_Alemana","Vina_del_Mar","Zapallar"
"20-03-30","2.19674003778393","0","0.533138560046063","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.29282405373907","0.31349883221685","0","0","0","0","0","0","0","0.241313760374229","0.205092445419773","0.38214255735861","0"
"20-03-31","2.19674003778393","0","0.533138560046063","0","0","0","0","0","0","0","0","1.7259531576313","0","0","0","0","0","0","0","0","0","0","0","0","0","0.29282405373907","0.31349883221685","0","0","0.0984261171733397","0","0","0","0","0.331806420514565","0.239274519656402","0.448029205179059","0"
"20-04-01","2.19674003778393","0","0.533138560046063","0","0","0","0","0","0","0","0","2.87658859605217","0","0","0","0","0","0","0","0","0","0","0","0","0","0.341628062695582","0.31349883221685","0","0","0.196852234346679","0","0","0","0","0.392134860608123","0.273456593893031","0.500738523435419","0"
"20-04-02","2.51056004318163","0","0.533138560046063","0","0","0","0","0.415080281714987","0","0","0","2.87658859605217","0","0","0","0","0","0","0","0","0","0","0","0","0","0.390432071652094","0.31349883221685","0","0","0.295278351520019","0","0.114065795432121","0","0","0.392134860608123","0.341820742366288","0.566625171255869","0"
"20-04-03","2.82438004857934","0","0.621994986720407","0","0","0","0","0.726390493001227","0","0","0","2.87658859605217","0","0","0","0","0","0","0","0","0","0","0","0","0","0.439236080608605","0.31349883221685","0","0","0.393704468693359","0","0.285164488580303","0","0","0.392134860608123","0.376002816602917","0.619334489512229","0"
"20-04-04","2.82438004857934","0","0.621994986720407","0","0","0","0","0.726390493001227","0","0","0","2.87658859605217","0","0","0","0.0953697054315908","0","0","0","0","0","0","0.451023372031139","0","0","0.439236080608605","0.31349883221685","0","0","0.442917527280029","0","0.285164488580303","0","0","0.392134860608123","0.376002816602917","0.645689148640409","0"
"20-04-05","2.82438004857934","0","0.621994986720407","0","0","0","0","0.726390493001227","0","0","0","2.87658859605217","0","0","0","0.286109116294772","0","0","0","0","0","0","1.80409348812455","0","0","0.439236080608605","0.31349883221685","0","0","0.442917527280029","0","0.285164488580303","0","0","0.392134860608123","0.376002816602917","0.658866478204499","0"
"20-04-06","2.82438004857934","0","0.621994986720407","0","0","0","0","0.726390493001227","0","0","0","2.87658859605217","0","0","0","0.381478821726363","0","0","0","0","0","0","2.25511686015569","0","0","0.439236080608605","0.341998726054745","0","0","0.442917527280029","0","0.285164488580303","0","0","0.392134860608123","0.376002816602917","0.698398466896769","0"
"20-04-07","2.82438004857934","0","0.710851413394751","0","0","0","0","0.726390493001227","0","0","0","2.87658859605217","0","0","0","0.476848527157954","0","0.209797105219542","0","0","0","0","2.25511686015569","0","0","0.536844098521629","0.370498619892641","0","0","0.442917527280029","0","0.342197386296363","0","0.798040013726288","0.45246330070168","0.410184890839546","0.790639773845399","0"
"20-04-08","2.82438004857934","0","0.799707840069095","0","0","0","0","0.726390493001227","0","0","0","2.87658859605217","0","0","0","0.476848527157954","0","0.419594210439084","0","0","0","0","2.25511686015569","0","0","0.634452116434652","0.427498407568432","0","0","0.442917527280029","0","0.342197386296363","0","1.99510003431572","0.542955960842016","0.410184890839546","0.869703751229939","0"
"20-04-09","2.82438004857934","0","0.799707840069095","0","0","0","0","0.726390493001227","0","0","0","3.4519063152626","0","0","0","0.572218232589545","0","0.419594210439084","0","0","0","0","2.25511686015569","0","0","0.634452116434652","0.484498195244223","0.263561907397524","0","0.541343644453368","0","0.342197386296363","0","1.99510003431572","0.573120180888795","0.410184890839546","0.896058410358119","0"
"20-04-10","2.82438004857934","0","0.799707840069095","0","0","0","0","0.726390493001227","0","0","0","3.4519063152626","0","0","0","0.667587938021136","0","0.419594210439084","0","0","0","0","2.25511686015569","0","0","0.634452116434652","0.512998089082118","0.527123814795048","0","0.639769761626708","0","0.342197386296363","0","1.99510003431572","0.588202290912184","0.410184890839546","0.909235739922209","0"
