NOM_REGION,CLAVE_REGION,NOM_MUN,CLAVE_MUN,POB_TOTAL_INE_2020,POB_HOM_INE_2020,POR_HOM_INE_2020,POB_MUJ_INE_2020,POR_MUJ_INE_2020,POB_EDAD_0_14_INE_2020,POR_EDAD_0_14_INE_2020,POB_EDAD_15_64_INE_2020,POR_EDAD_15_64_INE_2020,POB_EDAD_65+_INE_2020,POR_EDAD_65+_INE_2020,POB_TOTAL_INE_2023,POB_HOM_INE_2023,POB_MUJ_INE_2023,POB_EDAD_0_14_INE_2023,POB_EDAD_15_64_INE_2023,POB_EDAD_MAS_65_INE_2023,SUPERFICIE,DENSIDAD_INE_2020,DENSIDAD_INE_2023,POB_RURAL_INI_2017,POB_ETNIA_INE_2017,POB_MIGRANTE_INE_2017,POBREZA_ING_MIDESO_2017,POBREZA_MULTI_MIDESO_2017,POBREZA_ING_MIDESO_2020,POBREZA_ING_MIDESO_2022,POBREZA_ING_EXTR,POBREZA_MULTI_MIDESO_2022,MARGINACION,VULNERABILIDAD_SOCIAL,VULNERABILIDAD_SOCIAL_PUNTAJE,PRIORIDAD_SOCIAL,REZAGO_SOCIAL,TASA MORTALIDAD 2020,TASA MORTALIDAD 2021,TASA EGRESOS 2020 por 100 mil,TASA EGRESOS 2021 por 100 mil
Metropolitana,13,Pirque,13202,30433,15139,50,15294,50,6130,20.14260835,21080,69.2669142,3223,10.59047744,32.412,16.141,16.271,19.76,68.63,11.61,445.25,6835.0,7279.0,56.0,6.7,1.96,0.047,0.203,0.092,0.027000000000000003,,0.19399999999999998,,Medio-baja,-9.024141115,,,111.72,128.48,216.87,369.37
Metropolitana,13,San Jose de Maipo,13203,18644,9280,50,9364,50,3565,19.12143317,12748,68.375885,2331,12.50268183,19.33,9.624,9.706,18.7,67.62,13.68,4982.59,374.0,388.0,38.38,8.98,3.12,0.06,0.24,0.092,0.047,,0.244,,Medio-baja,-6.110698398,,,128.73,311.89,520.27,925.09
Metropolitana,13,Colina,13301,180353,89416,50,90937,50,46191,25.61143979,123003,68.20124977,11159,6.187310441,193.594,96.023,97.571,25.19,68.0,6.81,970.7,18580.0,19944.0,19.28,9.03,6.58,0.064,0.255,0.086,0.051,,0.24600000000000002,,Medio-baja,-4.952356761,,,86.5,87.28,275.02,335.13
Metropolitana,13,Lampa,13302,126898,63192,50,63706,50,32098,25.29433088,87135,68.6653848,7665,6.040284323,139.266,69.346,69.92,24.91,68.44,6.65,450.15,28190.0,30938.0,20.85,11.08,3.77,0.036000000000000004,0.258,0.102,0.049,,0.256,,Medio-baja,-5.578378384,,,69.35,126.3,190.7,356.07
Metropolitana,13,Tiltil,13303,21477,10725,50,10752,50,4438,20.6639661,14715,68.51515575,2324,10.82087815,22.262,11.107,11.155,20.29,67.81,11.89,654.23,3283.0,3403.0,32.32,8.09,2.65,0.068,0.237,0.10099999999999999,0.061,,0.289,,Medio-baja,-4.186066851,,,74.5,137.72,265.4,399.39
Metropolitana,13,San Bernardo,13401,334836,165636,49,169200,51,73181,21.85577417,231185,69.04424853,30470,9.099977302,345.583,171.025,174.558,21.52,68.47,10.01,152.88,2.19025,2.26055,1.68,11.54,2.59,0.094,0.261,0.107,0.06,,0.187,,Medio-baja,-4.299793537,,,137.98,165.17,298.65,531.5
Metropolitana,13,Buin,13402,109641,54264,49,55377,51,23599,21.52388249,76088,69.39739696,9954,9.078720552,116.032,57.533,58.499,21.14,68.89,9.97,217.5,50410.0,53349.0,14.18,8.33,1.86,0.08,0.249,0.085,0.044000000000000004,,0.191,,Medio-baja,-6.124597449,,,124.04,117.93,155.96,380.58
Metropolitana,13,Calera de Tango,13403,28525,14178,50,14347,50,5761,20.19631902,19945,69.92112182,2819,9.882559159,29.88,14.866,15.014,19.87,69.27,10.85,73.15,38996.0,40848.0,54.53,6.16,2.25,0.035,0.221,0.092,0.035,,0.18600000000000003,,Medio-baja,-6.879330182,,,63.1,130.95,199.82,461.77
Metropolitana,13,Paine,13404,82766,41201,50,41565,50,17525,21.17415364,56877,68.72024744,8364,10.10559892,87.059,43.369,43.69,20.79,68.13,11.09,677.66,12213.0,12847.0,35.74,8.87,2.91,0.042,0.223,0.11,0.059000000000000004,,0.209,,Medio-baja,-2.489060848,,,95.45,96.0,108.74,319.98
Metropolitana,13,Melipilla,13501,141612,70347,50,71265,50,28576,20.17908087,96140,67.88972686,16896,11.93119227,147.275,73.238,74.037,19.77,67.16,13.07,1352.15,10473.0,10892.0,31.47,7.26,2.55,0.052000000000000005,0.249,0.091,0.076,,0.228,,Medio-baja,-3.864563333,,,105.92,171.79,58.61,212.13
Metropolitana,13,Alhue,13502,7405,3733,50,3672,50,1428,19.28426739,5079,68.58879136,898,12.12694126,7.756,3.907,3.849,18.88,67.86,13.27,844.64,877.0,918.0,56.8,5.3,3.57,0.067,0.203,0.07200000000000001,0.096,,0.29100000000000004,,Medio-baja,-1.827460931,,,40.51,106.16,108.04,398.09
Metropolitana,13,Curacavi,13503,36430,18079,50,18351,50,7231,19.84902553,24693,67.78204776,4506,12.36892671,37.932,18.851,19.081,19.43,67.03,13.55,694.07,5249.0,5465.0,37.51,7.45,2.15,0.07400000000000001,0.226,0.096,0.06,,0.258,,Medio-baja,-2.266321011,,,63.13,137.87,120.78,254.12
Metropolitana,13,Maria Pinto,13504,14926,7402,50,7524,50,2962,19.84456653,10179,68.19643575,1785,11.95899772,15.503,7.675,7.828,19.44,67.45,13.11,394.6,3783.0,3929.0,50.94,7.83,0.98,0.10800000000000001,0.331,0.10300000000000001,0.073,,0.272,,Medio-alta,0.726705008,,,60.3,105.74,80.4,171.82
Metropolitana,13,San Pedro,13505,11953,6031,50,5922,50,2371,19.83602443,7850,65.6738894,1732,14.49008617,12.412,6.252,6.16,19.38,64.82,15.81,787.97,1517.0,1575.0,100.0,8.06,2.91,0.09300000000000001,0.318,0.133,0.141,,0.319,,Medio-alta,5.98576175,,,41.83,98.91,16.73,164.85
