NOM_REGION,CLAVE_REGION,NOM_MUN,CLAVE_MUN,POB_TOTAL_INE_2020,POB_HOM_INE_2020,POR_HOM_INE_2020,POB_MUJ_INE_2020,POR_MUJ_INE_2020,POB_EDAD_0_14_INE_2020,POR_EDAD_0_14_INE_2020,POB_EDAD_15_64_INE_2020,POR_EDAD_15_64_INE_2020,POB_EDAD_65+_INE_2020,POR_EDAD_65+_INE_2020,POB_TOTAL_INE_2023,POB_HOM_INE_2023,POB_MUJ_INE_2023,POB_EDAD_0_14_INE_2023,POB_EDAD_15_64_INE_2023,POB_EDAD_MAS_65_INE_2023,SUPERFICIE,DENSIDAD_INE_2020,DENSIDAD_INE_2023,POB_RURAL_INI_2017,POB_ETNIA_INE_2017,POB_MIGRANTE_INE_2017,POBREZA_ING_MIDESO_2017,POBREZA_MULTI_MIDESO_2017,POBREZA_ING_MIDESO_2020,POBREZA_ING_MIDESO_2022,POBREZA_ING_EXTR,POBREZA_MULTI_MIDESO_2022,MARGINACION,VULNERABILIDAD_SOCIAL,VULNERABILIDAD_SOCIAL_PUNTAJE,PRIORIDAD_SOCIAL,REZAGO_SOCIAL,TASA MORTALIDAD 2020,TASA MORTALIDAD 2021,TASA EGRESOS 2020 por 100 mil,TASA EGRESOS 2021 por 100 mil
Metropolitana,13,Talagante,13601,81838,40453,49,41385,51,17073,20.86194677,56546,69.09504142,8219,10.0430118,84.67,41.868,42.802,20.5,68.47,11.03,126.6,64645.0,66882.0,20.24,8.17,2.01,0.037000000000000005,0.213,0.08900000000000001,0.063,,0.17,,Medio-baja,-5.894285192,,,114.86,144.75,208.95,188.18
Metropolitana,13,El Monte,13602,40014,19798,49,20216,51,8699,21.73989104,27051,67.60383866,4264,10.65627031,41.711,20.678,21.033,21.36,66.94,11.7,114.87,34833.0,36311.0,16.36,10.06,1.42,0.087,0.337,0.11800000000000001,0.071,,0.23,,Medio-baja,-1.033614876,,,129.95,130.48,187.43,155.1
Metropolitana,13,Isla de Maipo,13603,40171,19914,50,20257,50,8548,21.27903214,27356,68.0988773,4267,10.62209056,41.876,20.777,21.099,20.89,67.45,11.66,189.34,21217.0,22117.0,25.62,7.66,1.56,0.083,0.272,0.115,0.064,,0.22899999999999998,,Medio-baja,-2.399449362,,,82.15,117.64,181.72,144.6
Metropolitana,13,Padre Hurtado,13604,74188,36769,50,37419,50,15999,21.56548229,51342,69.20526231,6847,9.229255405,79.925,39.613,40.312,21.2,68.66,10.14,81.07,91513.0,98590.0,11.89,10.82,2.48,0.08800000000000001,0.21600000000000003,0.09,0.037000000000000005,,0.196,,Medio-baja,-5.140793885,,,115.92,123.33,203.54,493.32
Metropolitana,13,Penaflor,13605,101058,49844,49,51214,51,21490,21.26501613,69096,68.3726177,10472,10.36236617,105.498,52.173,53.325,20.89,67.74,11.37,69.33,1.45764,1.52168,7.91,8.28,1.65,0.049,0.135,0.09,0.073,,0.151,,Medio-baja,-6.879977505,,,152.39,150.97,238.48,466.56
Los_Rios,14,Valdivia,14101,176774,85976,49,90798,51,31299,17.70565807,123808,70.03744895,21667,12.25689298,180.848,87.553,93.295,17.06,69.42,13.52,965.72,18305.0,18727.0,6.84,17.77,1.38,0.076,0.141,0.098,0.034,,0.139,,Medio-baja,-10.27384567,,,26.02,141.95,101.82,332.16
Los_Rios,14,Corral,14102,5447,2699,50,2748,50,954,17.51422802,3566,65.46722967,927,17.01854232,5.432,2.692,2.74,16.86,64.4,18.74,720.0,757.0,754.0,34.35,31.4,0.59,0.231,0.35,0.154,0.076,,0.23199999999999998,,Medio-alta,7.425593304,,,55.08,91.83,55.08,220.39
Los_Rios,14,Lanco,14103,17652,8653,49,8999,51,3633,20.58123725,11462,64.93315205,2557,14.4856107,17.957,8.778,9.179,19.72,64.39,15.89,531.89,3319.0,3376.0,30.71,32.54,0.65,0.192,0.258,0.142,0.039,,0.156,,Medio-alta,6.421907592,,,33.99,253.35,130.3,776.94
Los_Rios,14,Los Lagos,14104,20518,10152,49,10366,51,4074,19.85573643,13552,66.04932255,2892,14.09494103,20.523,10.15,10.373,19.0,65.49,15.5,1790.03,1146.0,1147.0,50.1,16.09,0.55,0.155,0.295,0.145,0.067,,0.24100000000000002,,Medio-alta,4.51097155,,,34.12,350.76,151.09,1237.39
Los_Rios,14,Mafil,14105,7389,3637,49,3752,51,1488,20.13804304,4775,64.62308837,1126,15.23886859,7.381,3.63,3.751,19.32,63.92,16.76,577.56,1279.0,1278.0,40.2,19.36,0.31,0.126,0.298,0.155,0.07200000000000001,,0.22899999999999998,,Medio-alta,5.429317091,,,13.53,162.38,135.34,649.53
Los_Rios,14,Mariquina,14106,23250,11475,49,11775,51,5153,22.16344086,15052,64.73978495,3045,13.09677419,23.83,11.697,12.133,21.28,64.28,14.44,1296.25,1794.0,1838.0,53.2,41.97,0.63,0.156,0.24100000000000002,0.14800000000000002,0.079,,0.266,,Medio-alta,9.695845632,,,12.9,196.1,141.94,903.74
Los_Rios,14,Paillaco,14107,20798,10223,49,10575,51,4066,19.54995673,13596,65.37167035,3136,15.07837292,20.915,10.265,10.65,18.74,64.75,16.51,901.46,2307.0,2320.0,38.32,19.98,0.76,0.191,0.253,0.14800000000000002,0.064,,0.172,,Medio-alta,6.921673936,,,43.27,225.44,67.31,191.86
Los_Rios,14,Panguipulli,14108,35991,17786,49,18205,51,7242,20.12169709,23707,65.86924509,5042,14.00905782,36.178,17.857,18.321,19.29,65.35,15.36,3300.26,1091.0,1096.0,55.78,43.87,0.97,0.147,0.326,0.141,0.102,,0.251,,Medio-alta,7.471953375,,,22.23,285.54,127.81,1194.83
Los_Rios,14,La Union,14201,39538,19419,49,20119,51,7554,19.10567049,25889,65.47877991,6095,15.4155496,39.668,19.457,20.211,18.28,64.81,16.91,2129.92,1856.0,1862.0,29.9,27.46,0.44,0.133,0.245,0.125,0.087,,0.18600000000000003,,Medio-alta,1.73802625,,,35.41,209.63,212.45,934.51
Los_Rios,14,Futrono,14202,15261,7530,49,7731,51,3224,21.12574536,10019,65.65100583,2018,13.2232488,15.211,7.493,7.718,20.26,65.18,14.57,2105.86,725.0,722.0,44.2,33.82,0.68,0.141,0.32899999999999996,0.158,0.09300000000000001,,0.191,,Medio-alta,5.363985297,,,0.0,255.72,13.11,340.96
Los_Rios,14,Lago Ranco,14203,10292,5140,50,5152,50,1997,19.40342013,6630,64.41896619,1665,16.17761368,10.28,5.131,5.149,18.5,63.75,17.75,1744.92,590.0,589.0,77.07,53.61,0.4,0.146,0.377,0.136,0.124,,0.354,,Alta,12.16580882,,,38.87,291.46,68.01,408.04
Los_Rios,14,Rio Bueno,14204,32925,16225,49,16700,51,5998,18.21716021,21597,65.59453303,5330,16.18830676,32.982,16.245,16.737,17.42,64.87,17.71,2175.34,1514.0,1516.0,45.36,27.38,0.47,0.16399999999999998,0.301,0.136,0.057,,0.21,,Medio-alta,6.001664761,,,30.37,182.08,72.89,267.05
Arica_Parinacota,15,Arica,15101,247552,124220,50,123332,50,51937,20.9802385,167297,67.58054873,28318,11.43921277,255.195,128.449,126.746,20.19,67.38,12.43,4792.82,5165.0,5325.0,7.36,35.08,7.55,0.083,0.21100000000000002,0.11800000000000001,0.091,,0.183,,Medio-alta,1.346904878,,,92.1,155.51,395.07,204.15
Arica_Parinacota,15,Camarones,15102,1233,634,51,599,49,190,15.40957015,799,64.80129765,244,19.7891322,1.244,639.0,605.0,14.63,64.31,21.06,3934.92,31.0,32.0,100.0,71.33,8.62,0.08800000000000001,0.5870000000000001,0.22899999999999998,0.126,,0.37,,Alta,21.83337091,,,0.0,0.0,81.1,0.0
Arica_Parinacota,15,Putre,15201,2515,1457,58,1058,42,299,11.88866799,1911,75.98409543,305,12.12723658,2.559,1.482,1.077,11.49,75.15,13.36,5885.01,43.0,43.0,22.17,59.25,10.61,0.145,0.503,0.204,0.073,,0.309,,Medio-alta,2.769935396,,,39.76,0.0,0.0,0.0
Arica_Parinacota,15,General Lagos,15202,810,433,53,377,47,118,14.56790123,557,68.7654321,135,16.66666667,804.0,429.0,375.0,14.3,67.79,17.91,2256.07,36.0,36.0,100.0,75.71,10.69,0.21,0.672,0.259,0.212,,0.586,,Alta,34.60482006,,,0.0,0.0,0.0,0.0
Nuble,16,Chillan,16101,198624,95112,48,103512,52,37456,18.85774126,134431,67.68114629,26737,13.46111245,202.826,96.449,106.377,18.12,66.8,15.08,474.83,41831.0,42716.0,8.71,5.35,1.33,0.11699999999999999,0.177,0.13699999999999998,0.105,,0.127,,Medio-baja,-7.2350504,,,42.79,99.93,180.24,331.25
Nuble,16,Bulnes,16102,22607,10983,49,11624,51,4246,18.78179325,14846,65.66992524,3515,15.54828151,22.732,11.021,11.711,17.95,64.7,17.35,426.74,5298.0,5327.0,37.23,4.36,0.51,0.149,0.287,0.154,0.127,,0.10099999999999999,,Medio-alta,2.227822943,,,88.47,150.01,411.38,688.29
Nuble,16,Chillan Viejo,16103,33827,16221,48,17606,52,7354,21.74003015,22913,67.73583232,3560,10.52413752,35.176,16.805,18.371,20.98,67.13,11.89,263.64,12831.0,13342.0,11.32,6.13,0.65,0.191,0.24,0.146,0.085,,0.152,,Medio-baja,-1.824039325,,,26.61,55.38,65.04,125.32
Nuble,16,El Carmen,16104,12334,6059,49,6275,51,2209,17.90984271,7969,64.61002108,2156,17.48013621,12.234,6.002,6.232,17.08,63.45,19.47,667.01,1849.0,1834.0,59.64,3.34,0.17,0.28800000000000003,0.341,0.171,0.149,,0.19,,Alta,12.16375658,,,56.75,73.13,137.83,406.27
Nuble,16,Pemuco,16105,8639,4261,49,4378,51,1619,18.74059498,5674,65.67889802,1346,15.580507,8.6,4.241,4.359,17.93,64.69,17.38,562.34,1536.0,1529.0,50.66,4.4,0.16,0.23800000000000002,0.285,0.165,0.19,,0.201,,Medio-alta,8.131701404,,,34.73,150.62,81.03,278.07
Nuble,16,Pinto,16106,11880,5805,49,6075,51,2050,17.25589226,7861,66.17003367,1969,16.57407407,12.11,5.893,6.217,16.48,65.03,18.49,1105.07,1075.0,1096.0,49.59,4.38,0.63,0.251,0.371,0.158,0.10300000000000001,,0.225,,Medio-alta,3.801068188,,,16.84,117.01,84.18,234.02
Nuble,16,Quillon,16107,18777,9192,49,9585,51,3218,17.13798796,11998,63.89732119,3561,18.96469085,19.182,9.355,9.827,16.28,62.67,21.05,406.54,4619.0,4718.0,40.39,5.12,0.51,0.16699999999999998,0.307,0.168,0.16,,0.12,,Medio-alta,4.103099699,,,69.23,116.25,239.65,385.75
Nuble,16,San Ignacio,16108,16624,8130,49,8494,51,2951,17.7514437,10929,65.74230029,2744,16.50625602,16.614,8.121,8.493,16.97,64.69,18.35,362.28,4589.0,4586.0,57.7,3.36,0.27,0.249,0.32799999999999996,0.187,0.157,,0.21600000000000003,,Alta,10.10865724,,,48.12,114.25,168.43,348.77
Nuble,16,Yungay,16109,18596,9156,49,9440,51,3440,18.49860185,12108,65.11077651,3048,16.39062164,18.784,9.232,9.552,17.69,64.03,18.28,824.8,2255.0,2277.0,25.21,5.31,0.34,0.19399999999999998,0.19899999999999998,0.114,0.10800000000000001,,0.128,,Medio-baja,-2.363042634,,,10.76,112.48,241.99,621.32
Nuble,16,Quirihue,16201,12192,5950,49,6242,51,2189,17.95439633,7844,64.33727034,2159,17.70833333,12.234,5.966,6.268,17.1,63.24,19.66,584.01,2088.0,2095.0,18.29,4.22,0.21,0.183,0.353,0.149,0.078,,0.18899999999999997,,Medio-alta,3.003087457,,,73.82,106.44,270.67,687.74
Nuble,16,Cobquecura,16202,5275,2588,49,2687,51,748,14.18009479,3356,63.62085308,1171,22.19905213,5.238,2.556,2.682,13.36,62.2,24.44,576.32,915.0,909.0,71.01,6.05,0.3,0.342,0.47200000000000003,0.192,0.191,,0.243,,Alta,10.7776771,,,37.91,151.95,37.91,531.81
Nuble,16,Coelemu,16203,16845,8252,49,8593,51,3183,18.89581478,10930,64.88572277,2732,16.21846245,16.894,8.265,8.629,18.05,63.86,18.1,343.61,4902.0,4917.0,28.51,5.97,0.17,0.183,0.307,0.126,0.13,,0.184,,Medio-alta,3.591677828,,,53.43,112.62,130.6,385.28
Nuble,16,Ninhue,16204,5414,2650,49,2764,51,854,15.77391947,3433,63.40967861,1127,20.81640192,5.37,2.624,2.746,14.92,62.09,23.0,402.88,1344.0,1333.0,71.24,3.08,0.24,0.253,0.348,0.141,0.161,,0.214,,Alta,12.34872606,,,36.94,111.07,166.24,333.21
Nuble,16,Portezuelo,16205,4940,2421,49,2519,51,823,16.65991903,3161,63.98785425,956,19.35222672,4.891,2.389,2.502,15.8,62.71,21.49,288.69,1711.0,1694.0,62.9,2.96,0.16,0.187,0.355,0.174,0.151,,0.20800000000000002,,Alta,10.40213528,,,40.49,121.83,60.73,162.44
Nuble,16,Ranquil,16206,6261,3060,49,3201,51,1050,16.77048395,3897,62.24245328,1314,20.98706277,6.29,3.069,3.221,15.82,61.05,23.13,248.37,2521.0,2533.0,72.42,4.31,0.18,0.095,0.243,0.153,0.168,,0.155,,Medio-alta,5.695883566,,,47.92,143.43,127.78,239.04
Nuble,16,Treguaco,16207,5696,2811,49,2885,51,980,17.20505618,3685,64.69452247,1031,18.10042135,5.752,2.836,2.916,16.45,63.49,20.06,312.81,1821.0,1839.0,67.15,4.84,0.21,0.20600000000000002,0.237,0.19,0.171,,0.188,,Medio-alta,7.286472141,,,35.11,209.86,87.78,367.26
Nuble,16,San Carlos,16301,56252,27234,48,29018,52,10419,18.52200811,36982,65.74344023,8851,15.73455166,56.886,27.456,29.43,17.73,64.72,17.56,876.91,6415.0,6487.0,37.27,3.49,0.4,0.138,0.275,0.145,0.13699999999999998,,0.151,,Medio-alta,0.679207985,,,28.44,164.6,108.44,569.92
Nuble,16,Coihueco,16302,28375,13920,49,14455,51,5704,20.10220264,19062,67.17885463,3609,12.71894273,28.908,14.115,14.793,19.34,66.38,14.28,1773.63,1600.0,1630.0,66.15,4.96,0.44,0.22,0.273,0.16699999999999998,0.135,,0.245,,Medio-alta,6.221299082,,,38.77,84.01,81.06,231.02
Nuble,16,niquen,16303,11567,5734,50,5833,50,1954,16.89288493,7329,63.36128642,2284,19.74582865,11.541,5.72,5.821,16.01,62.13,21.86,494.01,2341.0,2336.0,89.66,2.9,0.24,0.19899999999999998,0.308,0.192,0.138,,0.192,,Medio-alta,8.221642614,,,43.23,155.64,69.16,683.1
Nuble,16,San Fabian,16304,4654,2287,49,2367,51,838,18.00601633,2953,63.45079502,863,18.54318865,4.761,2.329,2.432,17.06,62.32,20.63,1545.14,301.0,308.0,60.68,5.45,0.35,0.138,0.324,0.187,0.15,,0.15,,Medio-alta,3.014298041,,,0.0,127.85,300.82,383.55
Nuble,16,San Nicolas,16305,12172,5966,49,6206,51,2150,17.66348998,8050,66.1353927,1972,16.20111732,12.414,6.056,6.358,16.88,65.1,18.02,567.07,2146.0,2189.0,57.88,3.67,0.33,0.14300000000000002,0.35,0.102,0.10800000000000001,,0.19699999999999998,,Medio-alta,2.234595116,,,65.72,73.4,115.02,481.2
