NOM_REGION,CLAVE_REGION,NOM_MUN,CVEGEO,POBTOT,POB_HOM,POR_HOM,POB_MUJ,POR_MUJ,POB_EDAD_0_14,POR_EDAD_0_14,POB_EDAD_15_64,POR_EDAD_15_64,POB_EDAD_65+,POR_EDAD_65+,SUPERFICIE,DENSIDAD,POB_RURAL,POB_ETNIA,POB_MIGRANTE,POBREZA_ING,POBREZA_ING_EXTR,POBREZA_MULTI,MARGINACION_1,VULNERABILIDAD_SOCIAL,PRIORIDAD_SOCIAL,REZAGO_SOCIAL_1,IMN_num,REZAGO_SOCIAL_NUM,longitud,latitud,Hospitalizados,Muertes,Positivos,TASA_HospitalizadoS,TASA_Muertes,TASA_Positivos
TAMAULIPAS,28,XICOTENCATL,28043,22229.0,11294.0,50.81,10935.0,49.19,5202.0,23.4,14317.0,64.41,2709.0,12.19,86134.68,0.26,53.54,0.3,,28.01,2.28,,Muy bajo,,,Muy bajo,0.9,-0.82,-98.95,23.0,0.0,0.0,0.0,0.0,0.0,0.0
TLAXCALA,29,AMAXAC DE GUERRERO,29001,11403.0,5849.0,51.29,5554.0,48.71,2783.0,24.41,7666.0,67.23,943.0,8.27,1110.52,10.27,8.65,3.76,,48.86,5.72,,Muy bajo,,,Muy bajo,0.92,-1.02,-98.17,19.35,0.0,0.0,0.0,0.0,0.0,0.0
TLAXCALA,29,APETATITLAN DE ANTONIO CARVAJAL,29002,16003.0,8258.0,51.6,7745.0,48.4,3967.0,24.79,10670.0,66.67,1270.0,7.94,1155.13,13.85,100.0,2.69,,42.78,5.82,,Muy bajo,,,Muy bajo,0.91,-1.1,-98.2,19.33,0.0,0.0,0.0,0.0,0.0,0.0
TLAXCALA,29,ATLANGATEPEC,29003,7087.0,3629.0,51.21,3458.0,48.79,2019.0,28.49,4485.0,63.28,583.0,8.23,10749.88,0.66,100.0,1.88,,58.24,6.01,,Bajo,,,Bajo,0.86,-0.46,-98.21,19.53,0.0,0.0,0.0,0.0,0.0,0.0
TLAXCALA,29,ATLTZAYANCA,29004,18111.0,9168.0,50.62,8943.0,49.38,5196.0,28.69,11367.0,62.76,1539.0,8.5,18872.37,0.96,100.0,0.46,,73.47,15.06,,Bajo,,,Bajo,0.86,-0.23,-97.8,19.43,0.0,0.0,0.0,0.0,0.0,0.0
TLAXCALA,29,APIZACO,29005,80725.0,42258.0,52.35,38467.0,47.65,18768.0,23.25,54696.0,67.76,7192.0,8.91,4339.42,18.6,10.43,1.97,,44.2,3.51,,Muy bajo,,,Muy bajo,0.93,-1.16,-98.14,19.42,0.0,0.0,0.0,0.0,0.0,0.0
TLAXCALA,29,CALPULALPAN,29006,51172.0,26556.0,51.9,24616.0,48.1,14219.0,27.79,33399.0,65.27,3518.0,6.87,25238.91,2.03,26.32,0.82,,59.87,7.2,,Muy bajo,,,Muy bajo,0.91,-0.88,-98.57,19.59,0.0,0.0,0.0,0.0,0.0,0.0
TLAXCALA,29,EL CARMEN TEQUEXQUITLA,29007,17332.0,8927.0,51.51,8405.0,48.49,5223.0,30.14,11030.0,63.64,1079.0,6.23,5810.65,2.98,19.2,0.44,,87.85,22.86,,Bajo,,,Bajo,0.86,0.03,-97.66,19.32,0.0,0.0,0.0,0.0,0.0,0.0
TLAXCALA,29,CUAPIAXTLA,29008,16222.0,8250.0,50.86,7972.0,49.14,4727.0,29.14,10432.0,64.31,1059.0,6.53,8216.4,1.97,37.92,0.28,,75.3,13.47,,Bajo,,,Bajo,0.88,-0.42,-97.77,19.3,0.0,0.0,0.0,0.0,0.0,0.0
TLAXCALA,29,CUAXOMULCO,29009,5928.0,3026.0,51.05,2902.0,48.95,1564.0,26.38,3843.0,64.83,499.0,8.42,1657.88,3.58,100.0,1.27,,55.46,5.12,,Bajo,,,Bajo,0.88,-0.71,-98.1,19.36,0.0,0.0,0.0,0.0,0.0,0.0
TLAXCALA,29,CHIAUTEMPAN,29010,73215.0,37964.0,51.85,35251.0,48.15,17854.0,24.39,47910.0,65.44,5825.0,7.96,7679.93,9.53,27.1,6.59,,58.19,9.06,,Muy bajo,,,Muy bajo,0.91,-0.84,-98.19,19.31,0.0,0.0,0.0,0.0,0.0,0.0
